,Tipo,Empresa,Setor,Subsetor,Cotacao,Data_ult_cot,Min_52_sem,Max_52_sem,Vol_med_2m,Valor_de_mercado,Valor_da_firma,Ult_balanco_processado,Nro_Acoes,PL,PVP,PEBIT,PSR,PAtivos,PCap_Giro,PAtiv_Circ_Liq,Div_Yield,EV_EBITDA,EV_EBIT,Cres_Rec_5a,LPA,VPA,Marg_Bruta,Marg_EBIT,Marg_Liquida,EBIT_Ativo,ROIC,ROE,Liquidez_Corr,Div_Br_Patrim,Giro_Ativos,Ativo,Cart_de_Credito,Depositos,Patrim_Liq,Result_Int_Financ_12m,Rec_Servicos_12m,Lucro_Liquido_12m,Result_Int_Financ_3m,Rec_Servicos_3m,Lucro_Liquido_3m,Disponibilidades,Ativo_Circulante,Div_Bruta,Div_Liquida,Receita_Liquida_12m,EBIT_12m,Receita_Liquida_3m,EBIT_3m
EKTR4,PN,ELEKTRO ELETRICIDADE E SERVIÇOS S.A. PN,Energia Elétrica,Energia Elétrica,37.00,2023-02-10,19.43,37.17,9276,7169080000,11301100000,2022-09-30,193759000,673,236,363,084,069,649,-184,21.0%,495,572,11.8%,550,1569,26.2%,23.1%,12.4%,19.1%,22.8%,35.0%,148,168,083,10348000000,,,3041000000,,,1065000000,,,155000000,978000000,3415000000,5110000000,4132000000,8570000000,1976000000,2004000000,312000000
ELET3,ON,ELETROBRÁS ON,Energia Elétrica,Energia Elétrica,37.03,2023-02-10,32.28,51.57,487795000,85214500000,121086000000,2022-09-30,2301230000,1816,076,1339,227,032,453,-077,1.4%,1326,1903,5.0%,204,4845,57.0%,16.9%,12.6%,2.4%,2.6%,4.2%,176,050,014,266506000000,,,111495000000,,,4693710000,,,-14533000,19398300000,43516700000,55270100000,35871800000,37562300000,6363140000,8033010000,656255000
ELET5,PNA,ELETROBRÁS PNA,Energia Elétrica,Energia Elétrica,62.46,2023-01-31,62.46,62.46,426,143735000000,179607000000,2022-09-30,2301230000,3062,129,2259,383,054,764,-129,0.0%,1966,2823,5.0%,204,4845,57.0%,16.9%,12.6%,2.4%,2.6%,4.2%,176,050,014,266506000000,,,111495000000,,,4693710000,,,-14533000,19398300000,43516700000,55270100000,35871800000,37562300000,6363140000,8033010000,656255000
ELET6,PNB,ELETROBRÁS PNB,Energia Elétrica,Energia Elétrica,39.28,2023-02-10,31.61,54.94,103336000,90392200000,126264000000,2022-09-30,2301230000,1926,081,1421,241,034,480,-081,2.7%,1382,1984,5.0%,204,4845,57.0%,16.9%,12.6%,2.4%,2.6%,4.2%,176,050,014,266506000000,,,111495000000,,,4693710000,,,-14533000,19398300000,43516700000,55270100000,35871800000,37562300000,6363140000,8033010000,656255000
ELMD3,ON NM,ELETROMIDIA ON NM,Mídia,Publicidade e Propaganda,12.20,2023-02-10,9.40,17.30,3520130,1707800000,2245490000,2022-09-30,139984000,-20829,231,1962,244,086,-851,-227,0.0%,1179,2580,101.1%,-006,528,32.4%,12.4%,0.2%,4.4%,5.0%,-1.1%,064,091,035,1996030000,,,739445000,,,-8199000,,,7764000,137476000,352895000,675165000,537689000,699684000,87049000,227347000,21296000
EMAE4,PN,EMAE PN,Energia Elétrica,Energia Elétrica,48.38,2023-02-10,28.55,68.41,358847,1787500000,1397480000,2022-09-30,36947000,1716,193,43281,334,095,353,-522,1.8%,14113,33837,18.9%,282,2509,30.2%,0.8%,19.5%,0.2%,0.3%,11.2%,549,-,028,1889150000,,,927120000,,,104147000,,,18089000,390016000,619680000,0,-390016000,534616000,4130020,134030000,-880000
EMBR3,ON,EMBRAER ON,Material de Transporte,Material Aeronáutico e de Defesa,16.12,2023-02-10,10.87,20.06,110657000,11936300000,19748200000,2022-09-30,740465000,-1124,090,778,059,022,091,-135,0.0%,779,1288,10.2%,-143,1798,18.8%,7.6%,-5.7%,2.9%,3.8%,-8.0%,177,127,038,53700400000,,,13311700000,,,-1061720000,,,-160362000,9124630000,30177500000,16936500000,7811870000,20276600000,1533690000,4872100000,326635000
ENAT3,ON,ENAUTA PART ON,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",14.54,2023-02-10,11.77,23.85,16024900,3864830000,2847470000,2022-09-30,265807000,433,097,495,175,063,525,-1269,11.7%,202,364,31.3%,336,1498,41.5%,35.4%,40.5%,12.8%,19.4%,22.4%,169,013,036,6095310000,,,3982410000,,,891978000,,,18894000,1553100000,1808250000,535738000,-1017360000,2204770000,781267000,166849000,-1937000
ENBR3,ON,EDP ENERGIAS DO BRASIL S/A ON,Energia Elétrica,Energia Elétrica,19.95,2023-02-10,18.03,22.65,70358300,11594200000,22218800000,2022-09-30,581165000,521,098,277,064,031,348,-084,12.8%,443,531,7.9%,383,2027,27.9%,23.3%,13.5%,11.2%,13.2%,18.9%,148,125,048,37237500000,,,11781000000,,,2227390000,,,514433000,4146440000,10315100000,14771000000,10624500000,17985100000,4182640000,4588620000,1215940000
ENEV3,ON,ENEVA ON,Energia Elétrica,Energia Elétrica,11.70,2023-02-10,11.03,16.09,120125000,18538000000,24204900000,2022-09-30,1584450000,1750,134,1467,337,057,277,-276,0.0%,1292,1916,16.5%,067,875,35.0%,23.0%,19.3%,3.9%,5.7%,7.6%,234,105,017,32276000000,,,13871700000,,,1059330000,,,237779000,8932870000,11696500000,14599800000,5666930000,5494100000,1263260000,1704000000,205548000
ENGI3,ON,ENERGISA ON,Energia Elétrica,Energia Elétrica,13.11,2023-02-10,11.91,16.80,167731,26732400000,48571900000,2022-09-30,2039090000,1139,229,439,098,045,946,-085,1.8%,658,797,15.7%,115,572,26.6%,22.3%,9.6%,10.2%,11.7%,20.1%,122,237,046,59675800000,,,11665100000,,,2346290000,,,402118000,5781810000,15465200000,27621300000,21839500000,27276200000,6095580000,7042670000,1684850000
ENGI4,PN,ENERGISA PN,Energia Elétrica,Energia Elétrica,6.84,2023-02-10,6.35,8.58,209323,13947400000,35786900000,2022-09-30,2039090000,594,120,229,051,023,493,-045,3.4%,485,587,15.7%,115,572,26.6%,22.3%,9.6%,10.2%,11.7%,20.1%,122,237,046,59675800000,,,11665100000,,,2346290000,,,402118000,5781810000,15465200000,27621300000,21839500000,27276200000,6095580000,7042670000,1684850000
ENJU3,ON NM,ENJOEI ON NM,Programas e Serviços,Programas e Serviços,0.80,2023-02-10,0.80,3.12,1163780,160195000,-168785000,2022-09-30,200243000,-172,042,-142,119,037,050,051,0.0%,174,149,27.6%,-046,192,32.6%,-84.3%,-69.4%,-25.9%,-123.7%,-24.3%,804,-,031,436437000,,,383688000,,,-93110000,,,-10180000,328980000,367676000,0,-328980000,134243000,-113203000,36687000,-16831000
ENMT3,ON,ENERGISA MT ON,Energia Elétrica,Energia Elétrica,80.60,2023-01-31,75.47,82.56,13183,17646700000,21742300000,2022-09-30,218942000,1457,520,902,237,151,2997,-349,4.4%,990,1111,16.1%,553,1551,29.9%,26.2%,16.2%,16.7%,18.4%,35.7%,122,139,064,11717600000,,,3395870000,,,1211500000,,,223845000,608288000,3262960000,4703880000,4095590000,7460510000,1956270000,1742680000,418842000
